x_acc,y_acc,z_acc,label
-0.178,-1.002,-0.076,silence
-0.18,-1.001,-0.075,silence
-0.178,-1.002,-0.076,silence
-0.177,-1.003,-0.076,silence
-0.178,-1.003,-0.074,silence
-0.179,-1.002,-0.075,silence
-0.18,-1.002,-0.076,silence
-0.178,-1.005,-0.074,silence
-0.18,-1.002,-0.077,silence
-0.181,-1.003,-0.074,silence
-0.181,-1.002,-0.076,silence
-0.179,-1.003,-0.072,silence
-0.178,-1.004,-0.078,silence
-0.181,-1.0,-0.075,silence
-0.179,-1.002,-0.075,silence
-0.18,-1.003,-0.076,silence
-0.181,-1.002,-0.076,silence
-0.181,-1.003,-0.074,silence
-0.182,-1.0,-0.078,silence
-0.182,-1.002,-0.078,silence
-0.182,-1.001,-0.076,silence
-0.181,-1.0,-0.075,silence
-0.18,-1.002,-0.076,silence
-0.183,-0.998,-0.078,silence
-0.181,-1.0,-0.078,silence
-0.18,-0.998,-0.078,silence
-0.183,-1.001,-0.074,silence
-0.18,-1.002,-0.079,silence
-0.18,-1.002,-0.077,silence
-0.18,-1.0,-0.078,silence
-0.182,-1.0,-0.078,silence
-0.181,-0.999,-0.077,silence
-0.179,-1.0,-0.076,silence
-0.18,-0.999,-0.078,silence
-0.18,-0.998,-0.076,silence
-0.178,-0.999,-0.077,silence
-0.179,-1.001,-0.08,silence
-0.178,-0.999,-0.076,silence
-0.179,-0.998,-0.078,silence
-0.177,-0.998,-0.077,silence
-0.178,-1.002,-0.076,silence
-0.179,-1.001,-0.075,silence
-0.177,-1.001,-0.077,silence
-0.179,-0.998,-0.078,silence
-0.178,-0.999,-0.078,silence
-0.177,-1.0,-0.079,silence
-0.177,-1.001,-0.077,silence
-0.177,-1.0,-0.076,silence
-0.178,-1.0,-0.076,silence
-0.177,-1.002,-0.071,silence
-0.178,-1.005,-0.073,silence
-0.178,-1.003,-0.076,silence
-0.177,-1.002,-0.07,silence
-0.18,-1.002,-0.074,silence
-0.178,-1.003,-0.074,silence
-0.178,-1.001,-0.076,silence
