x_acc,y_acc,z_acc,label
-0.052,0.679,-0.746,silence
-0.051,0.681,-0.746,silence
-0.051,0.678,-0.747,silence
-0.053,0.673,-0.746,silence
-0.052,0.679,-0.745,silence
-0.053,0.675,-0.743,silence
-0.05,0.678,-0.746,silence
-0.05,0.679,-0.745,silence
-0.052,0.674,-0.743,silence
-0.05,0.675,-0.745,silence
-0.05,0.676,-0.745,silence
-0.051,0.677,-0.744,silence
-0.052,0.676,-0.745,silence
-0.052,0.672,-0.747,silence
-0.052,0.676,-0.744,silence
-0.05,0.676,-0.741,silence
-0.051,0.676,-0.746,silence
-0.05,0.677,-0.746,silence
-0.052,0.675,-0.745,silence
-0.051,0.678,-0.746,silence
-0.052,0.675,-0.747,silence
-0.051,0.672,-0.747,silence
-0.053,0.673,-0.746,silence
-0.053,0.67,-0.745,silence
-0.052,0.677,-0.746,silence
-0.053,0.674,-0.749,silence
-0.053,0.677,-0.747,silence
-0.051,0.674,-0.747,silence
-0.053,0.673,-0.746,silence
-0.052,0.676,-0.748,silence
-0.052,0.677,-0.746,silence
-0.053,0.678,-0.748,silence
-0.053,0.677,-0.748,silence
-0.056,0.672,-0.748,silence
-0.056,0.676,-0.748,silence
-0.053,0.678,-0.746,silence
-0.053,0.678,-0.746,silence
-0.052,0.678,-0.745,silence
-0.054,0.675,-0.746,silence
-0.052,0.68,-0.751,silence
-0.052,0.68,-0.745,silence
-0.051,0.678,-0.742,silence
-0.051,0.678,-0.742,silence
-0.054,0.676,-0.744,silence
-0.051,0.677,-0.745,silence
-0.051,0.676,-0.746,silence
-0.054,0.672,-0.745,silence
-0.053,0.678,-0.745,silence
-0.053,0.676,-0.744,silence
-0.053,0.676,-0.744,silence
-0.05,0.678,-0.746,silence
-0.052,0.672,-0.744,silence
-0.049,0.675,-0.743,silence
-0.051,0.676,-0.745,silence
-0.049,0.677,-0.746,silence
-0.052,0.674,-0.745,silence
-0.052,0.67,-0.744,silence
-0.052,0.674,-0.747,silence
-0.051,0.676,-0.743,silence
-0.054,0.672,-0.745,silence
-0.05,0.675,-0.746,silence
-0.055,0.669,-0.746,silence
-0.053,0.673,-0.748,silence
-0.052,0.674,-0.745,silence
-0.054,0.673,-0.748,silence
-0.054,0.674,-0.745,silence
-0.055,0.675,-0.747,silence
-0.054,0.677,-0.748,silence
-0.054,0.678,-0.748,silence
-0.053,0.675,-0.746,silence
-0.053,0.676,-0.748,silence
-0.055,0.675,-0.747,silence
-0.053,0.676,-0.746,silence
-0.052,0.677,-0.747,silence
-0.05,0.677,-0.749,silence
-0.053,0.677,-0.747,silence
-0.052,0.677,-0.745,silence
-0.054,0.677,-0.745,silence
-0.053,0.675,-0.745,silence
-0.053,0.677,-0.746,silence
-0.051,0.68,-0.746,silence
-0.052,0.678,-0.744,silence
-0.05,0.678,-0.747,silence
-0.052,0.676,-0.743,silence
-0.051,0.674,-0.745,silence
-0.053,0.677,-0.747,silence
-0.052,0.676,-0.745,silence
-0.051,0.676,-0.745,silence
-0.051,0.677,-0.744,silence
-0.051,0.678,-0.741,silence
-0.049,0.674,-0.746,silence
-0.055,0.678,-0.742,silence
-0.055,0.674,-0.744,silence
-0.053,0.673,-0.747,silence
-0.053,0.672,-0.746,silence
-0.05,0.677,-0.747,silence
-0.051,0.673,-0.746,silence
-0.052,0.673,-0.747,silence
-0.051,0.675,-0.746,silence
-0.054,0.674,-0.747,silence
-0.053,0.675,-0.746,silence
-0.052,0.676,-0.745,silence
-0.053,0.673,-0.746,silence
-0.051,0.673,-0.749,silence
-0.055,0.671,-0.748,silence
-0.055,0.673,-0.747,silence
-0.053,0.675,-0.746,silence
-0.053,0.676,-0.749,silence
-0.053,0.677,-0.748,silence
-0.055,0.674,-0.748,silence
-0.053,0.676,-0.748,silence
-0.052,0.675,-0.745,silence
-0.054,0.676,-0.747,silence
-0.053,0.677,-0.746,silence
-0.053,0.673,-0.746,silence
-0.052,0.678,-0.747,silence
-0.051,0.679,-0.745,silence
-0.053,0.681,-0.747,silence
-0.051,0.677,-0.745,silence
-0.051,0.676,-0.745,silence
-0.052,0.677,-0.747,silence
-0.05,0.675,-0.745,silence
-0.052,0.676,-0.744,silence
-0.049,0.677,-0.745,silence
-0.052,0.676,-0.745,silence
-0.049,0.68,-0.744,silence
-0.053,0.675,-0.746,silence
-0.051,0.678,-0.744,silence
-0.051,0.676,-0.745,silence
-0.052,0.672,-0.743,silence
-0.051,0.676,-0.747,silence
-0.052,0.676,-0.743,silence
-0.052,0.675,-0.743,silence
-0.051,0.676,-0.744,silence
-0.053,0.673,-0.744,silence
-0.053,0.675,-0.746,silence
-0.052,0.676,-0.748,silence
-0.052,0.674,-0.748,silence
-0.055,0.674,-0.746,silence
-0.054,0.675,-0.745,silence
-0.054,0.673,-0.746,silence
-0.054,0.679,-0.745,silence
-0.055,0.673,-0.747,silence
-0.053,0.677,-0.747,silence
-0.056,0.673,-0.746,silence
-0.052,0.681,-0.745,silence
-0.054,0.68,-0.748,silence
-0.052,0.673,-0.75,silence
-0.053,0.679,-0.749,steel
-0.054,0.676,-0.746,steel
-0.055,0.677,-0.749,steel
-0.055,0.678,-0.748,steel
-0.055,0.673,-0.749,steel
-0.05,0.677,-0.743,steel
-0.056,0.668,-0.751,steel
-0.044,0.673,-0.738,steel
-0.052,0.687,-0.747,steel
-0.055,0.669,-0.745,steel
-0.054,0.674,-0.741,steel
-0.055,0.684,-0.743,steel
-0.048,0.679,-0.753,steel
-0.051,0.659,-0.747,steel
-0.049,0.668,-0.74,steel
-0.043,0.686,-0.739,steel
-0.059,0.682,-0.747,steel
-0.052,0.667,-0.741,steel
-0.054,0.682,-0.745,steel
-0.045,0.673,-0.744,steel
-0.062,0.66,-0.752,steel
-0.039,0.664,-0.737,steel
-0.04,0.69,-0.744,steel
-0.056,0.682,-0.738,steel
-0.059,0.674,-0.749,steel
-0.051,0.677,-0.741,steel
-0.049,0.672,-0.749,steel
-0.062,0.662,-0.745,steel
-0.048,0.661,-0.752,steel
-0.043,0.68,-0.737,steel
-0.05,0.686,-0.738,steel
-0.059,0.685,-0.742,steel
-0.052,0.676,-0.75,steel
-0.058,0.671,-0.75,steel
-0.06,0.656,-0.748,steel
-0.055,0.669,-0.756,steel
-0.044,0.674,-0.742,steel
-0.055,0.684,-0.741,steel
-0.047,0.69,-0.739,steel
-0.057,0.682,-0.753,steel
-0.053,0.668,-0.745,steel
-0.062,0.666,-0.752,steel
-0.05,0.667,-0.748,steel
-0.054,0.665,-0.75,steel
-0.044,0.675,-0.737,steel
-0.042,0.698,-0.742,steel
-0.052,0.691,-0.739,steel
-0.061,0.677,-0.749,steel
-0.054,0.675,-0.749,steel
-0.055,0.661,-0.75,steel
-0.057,0.662,-0.775,steel
-0.044,0.668,-0.739,steel
-0.039,0.692,-0.739,steel
-0.05,0.694,-0.735,steel
-0.062,0.689,-0.748,steel
-0.051,0.672,-0.747,steel
-0.06,0.666,-0.75,steel
-0.052,0.664,-0.746,steel
-0.054,0.664,-0.748,steel
-0.039,0.676,-0.737,steel
-0.041,0.697,-0.74,steel
-0.05,0.691,-0.739,steel
-0.064,0.669,-0.746,steel
-0.053,0.673,-0.746,steel
-0.055,0.665,-0.748,steel
-0.058,0.66,-0.744,steel
-0.049,0.666,-0.747,steel
-0.039,0.692,-0.739,steel
-0.048,0.692,-0.737,steel
-0.063,0.687,-0.746,steel
-0.05,0.674,-0.751,steel
-0.058,0.67,-0.753,steel
-0.061,0.649,-0.742,steel
-0.057,0.667,-0.755,steel
-0.04,0.677,-0.743,steel
-0.049,0.685,-0.743,steel
-0.047,0.696,-0.738,steel
-0.057,0.683,-0.754,steel
-0.051,0.665,-0.746,steel
-0.06,0.667,-0.753,steel
-0.055,0.666,-0.748,steel
-0.054,0.667,-0.752,steel
-0.047,0.676,-0.738,steel
-0.043,0.702,-0.742,steel
-0.052,0.692,-0.74,steel
-0.062,0.675,-0.749,steel
-0.056,0.671,-0.748,steel
-0.055,0.667,-0.75,steel
-0.059,0.661,-0.745,steel
-0.046,0.669,-0.747,steel
-0.042,0.695,-0.739,steel
-0.048,0.695,-0.734,steel
-0.063,0.683,-0.746,steel
-0.048,0.677,-0.75,steel
-0.056,0.668,-0.751,steel
-0.054,0.658,-0.744,steel
-0.055,0.668,-0.753,steel
-0.038,0.673,-0.739,steel
-0.051,0.684,-0.739,steel
-0.044,0.696,-0.735,steel
-0.055,0.686,-0.752,steel
-0.051,0.666,-0.744,steel
-0.06,0.66,-0.748,steel
-0.048,0.669,-0.746,steel
-0.053,0.66,-0.75,steel
-0.042,0.677,-0.739,steel
-0.041,0.697,-0.736,steel
-0.056,0.686,-0.746,steel
-0.064,0.677,-0.75,steel
-0.055,0.668,-0.752,steel
-0.058,0.653,-0.743,steel
-0.057,0.667,-0.755,steel
-0.035,0.677,-0.741,steel
-0.049,0.686,-0.742,steel
-0.048,0.693,-0.74,steel
-0.054,0.687,-0.755,steel
-0.051,0.669,-0.745,steel
-0.063,0.665,-0.753,steel
-0.051,0.67,-0.75,steel
-0.053,0.667,-0.749,steel
-0.043,0.682,-0.738,steel
-0.045,0.7,-0.74,steel
-0.053,0.694,-0.743,steel
