x_acc,y_acc,z_acc,label
0.135,-0.971,-0.087,silence
0.135,-0.972,-0.087,silence
0.136,-0.968,-0.087,silence
0.137,-0.972,-0.085,silence
0.137,-0.97,-0.085,silence
0.134,-0.973,-0.086,silence
0.135,-0.972,-0.086,silence
0.135,-0.973,-0.086,silence
0.136,-0.97,-0.087,silence
0.134,-0.971,-0.086,silence
0.136,-0.971,-0.088,silence
0.135,-0.973,-0.086,silence
0.134,-0.972,-0.089,silence
0.134,-0.971,-0.086,silence
0.134,-0.971,-0.086,silence
0.137,-0.973,-0.085,silence
0.135,-0.972,-0.085,silence
0.135,-0.972,-0.085,silence
0.136,-0.971,-0.086,silence
0.134,-0.972,-0.085,silence
0.136,-0.969,-0.087,silence
0.133,-0.972,-0.088,silence
0.136,-0.97,-0.086,silence
0.135,-0.971,-0.086,silence
0.136,-0.971,-0.088,silence
0.135,-0.971,-0.087,silence
0.134,-0.972,-0.088,silence
0.135,-0.972,-0.086,silence
0.136,-0.971,-0.086,silence
0.134,-0.972,-0.085,silence
0.135,-0.972,-0.089,silence
0.136,-0.973,-0.093,silence
0.135,-0.972,-0.086,silence
0.135,-0.971,-0.087,silence
0.135,-0.975,-0.083,silence
0.135,-0.97,-0.086,silence
0.134,-0.974,-0.087,silence
0.136,-0.97,-0.084,silence
0.137,-0.972,-0.087,silence
0.134,-0.972,-0.081,silence
0.133,-0.97,-0.086,silence
0.133,-0.974,-0.085,silence
0.135,-0.972,-0.087,silence
0.135,-0.972,-0.087,silence
0.135,-0.97,-0.085,silence
0.135,-0.975,-0.085,silence
0.137,-0.971,-0.086,silence
0.134,-0.974,-0.086,silence
0.135,-0.971,-0.089,silence
0.134,-0.973,-0.089,silence
0.135,-0.97,-0.085,silence
0.134,-0.97,-0.086,silence
0.135,-0.97,-0.083,silence
0.135,-0.974,-0.087,silence
0.136,-0.969,-0.085,silence
0.136,-0.974,-0.086,silence
0.135,-0.97,-0.086,silence
0.135,-0.973,-0.089,silence
0.136,-0.971,-0.089,silence
0.136,-0.974,-0.084,silence
0.134,-0.971,-0.09,silence
0.136,-0.971,-0.088,silence
0.135,-0.97,-0.088,silence
0.135,-0.971,-0.087,silence
0.135,-0.972,-0.088,silence
0.136,-0.972,-0.084,silence
0.134,-0.97,-0.089,silence
0.134,-0.972,-0.083,silence
0.135,-0.969,-0.089,silence
0.137,-0.972,-0.083,silence
0.136,-0.97,-0.087,silence
0.135,-0.974,-0.085,silence
0.136,-0.969,-0.087,silence
0.134,-0.973,-0.088,silence
0.135,-0.972,-0.087,silence
0.136,-0.972,-0.087,silence
0.135,-0.971,-0.088,silence
0.134,-0.971,-0.085,silence
0.136,-0.97,-0.088,silence
0.135,-0.971,-0.086,silence
0.137,-0.97,-0.086,silence
0.135,-0.971,-0.085,silence
0.133,-0.969,-0.086,silence
0.135,-0.973,-0.085,silence
0.136,-0.97,-0.084,silence
0.135,-0.973,-0.086,silence
0.135,-0.969,-0.087,silence
0.134,-0.972,-0.084,silence
0.136,-0.971,-0.088,silence
0.134,-0.972,-0.086,silence
0.136,-0.97,-0.086,silence
0.136,-0.974,-0.085,silence
0.135,-0.971,-0.085,silence
0.135,-0.973,-0.086,silence
0.134,-0.972,-0.088,silence
