x_acc,y_acc,z_acc,label
-0.177,-1.001,-0.077,silence
-0.177,-1.002,-0.075,silence
-0.176,-1.004,-0.077,silence
-0.177,-1.003,-0.076,silence
-0.177,-1.001,-0.076,silence
-0.175,-1.002,-0.073,silence
-0.175,-1.002,-0.075,silence
-0.175,-1.001,-0.075,silence
-0.177,-1.0,-0.075,silence
-0.175,-1.003,-0.074,silence
-0.175,-1.0,-0.076,silence
-0.178,-1.002,-0.076,silence
-0.177,-1.0,-0.076,silence
-0.178,-0.999,-0.075,silence
-0.176,-1.004,-0.074,silence
-0.176,-1.002,-0.076,silence
-0.178,-1.002,-0.075,silence
-0.177,-1.002,-0.073,silence
-0.176,-1.0,-0.076,silence
-0.176,-1.001,-0.073,silence
-0.176,-1.003,-0.073,silence
-0.176,-1.002,-0.076,silence
-0.176,-1.002,-0.075,silence
-0.176,-1.0,-0.076,silence
-0.176,-1.0,-0.077,silence
-0.176,-1.003,-0.075,silence
-0.176,-1.002,-0.075,silence
-0.175,-1.002,-0.077,silence
-0.177,-1.0,-0.077,silence
-0.176,-1.003,-0.074,silence
-0.177,-1.001,-0.075,silence
-0.176,-1.002,-0.073,silence
-0.177,-1.001,-0.075,silence
-0.177,-1.0,-0.075,silence
-0.176,-1.002,-0.073,silence
-0.178,-1.0,-0.075,silence
-0.175,-1.003,-0.074,silence
-0.175,-1.001,-0.074,silence
-0.174,-1.002,-0.082,silence
-0.175,-1.003,-0.077,silence
-0.177,-1.0,-0.077,silence
-0.177,-1.001,-0.074,silence
-0.177,-1.003,-0.074,silence
-0.178,-1.001,-0.075,silence
-0.174,-1.001,-0.075,silence
-0.177,-1.001,-0.075,silence
-0.174,-1.001,-0.075,silence
-0.174,-1.002,-0.078,silence
-0.175,-1.003,-0.076,silence
-0.175,-1.002,-0.075,silence
-0.178,-1.0,-0.075,silence
-0.178,-1.001,-0.078,silence
-0.175,-1.002,-0.075,silence
-0.175,-1.004,-0.076,silence
-0.177,-1.001,-0.076,silence
-0.177,-0.999,-0.077,silence
-0.175,-1.003,-0.074,silence
-0.176,-1.001,-0.075,silence
-0.176,-1.001,-0.076,silence
-0.177,-1.002,-0.074,silence
-0.179,-1.0,-0.076,silence
-0.177,-0.999,-0.075,silence
-0.177,-1.002,-0.075,silence
-0.178,-1.003,-0.076,silence
-0.176,-1.002,-0.078,silence
-0.176,-1.0,-0.076,silence
-0.179,-1.001,-0.075,silence
-0.176,-1.002,-0.074,silence
-0.176,-1.001,-0.077,silence
-0.174,-1.002,-0.074,silence
-0.178,-0.999,-0.076,silence
-0.176,-1.003,-0.074,silence
-0.174,-1.001,-0.076,silence
-0.176,-1.001,-0.075,silence
-0.176,-1.002,-0.074,silence
-0.179,-0.998,-0.077,silence
-0.176,-0.999,-0.075,silence
-0.177,-1.002,-0.075,silence
-0.176,-1.004,-0.077,silence
-0.175,-1.0,-0.073,silence
-0.177,-1.002,-0.075,silence
-0.174,-1.001,-0.073,silence
-0.179,-0.998,-0.076,silence
-0.177,-1.002,-0.075,silence
-0.177,-1.0,-0.073,silence
-0.177,-1.003,-0.075,silence
-0.177,-1.003,-0.076,silence
