year,month,day,hour,minute,second,atrack,xtrack,lat,lon,surf_alt,solar_zenith_angle,solar_azimuth_angle,surf_air_temp_masked,surf_temp_masked,surf_spec_hum_masked,h2o_vap_tot_masked,cloud_liquid_water_masked,atmosphere_mass_content_of_cloud_ice_masked
2015.0,1.0,23.0,6.648057460006529,27.871367939928177,29.96898465556644,65.4611492001306,49.35422788116226,27.7,19.5,361.58275801028407,0.3017168574408639,0.08854537234754632,-0.9361782355720787,-0.7756575527707512,-0.5142116170404241,-0.5993978127735545,0.4393055794464593,0.22290259608560165
2015.0,1.0,23.0,6.648057460006529,27.871367939928177,29.96898465556644,65.4611492001306,49.35422788116226,28.9,23.9,361.58275801028407,0.3017168574408639,0.08854537234754632,-0.9361782355720787,-0.7756575527707512,-0.5142116170404241,-0.5993978127735545,0.4393055794464593,0.22290259608560165
2015.0,1.0,23.0,6.648057460006529,27.871367939928177,29.96898465556644,65.4611492001306,49.35422788116226,29.7,22.6,361.58275801028407,0.3017168574408639,0.08854537234754632,-0.9361782355720787,-0.7756575527707512,-0.5142116170404241,-0.5993978127735545,0.4393055794464593,0.22290259608560165
2015.0,1.0,23.0,6.648057460006529,27.871367939928177,29.96898465556644,65.4611492001306,49.35422788116226,30.4,22.8,361.58275801028407,0.3017168574408639,0.08854537234754632,-0.9361782355720787,-0.7756575527707512,-0.5142116170404241,-0.5993978127735545,0.4393055794464593,0.22290259608560165
2015.0,1.0,23.0,6.648057460006529,27.871367939928177,29.96898465556644,65.4611492001306,49.35422788116226,30.7,22.0,361.58275801028407,0.3017168574408639,0.08854537234754632,-0.9361782355720787,-0.7756575527707512,-0.5142116170404241,-0.5993978127735545,0.4393055794464593,0.22290259608560165
2015.0,1.0,23.0,1.0,18.0,5.0,133.0,25.0,31.7,13.1,689.6343,1.3659365939241161,-0.5084107691352673,-1.0709422758954794,-1.0523545802428513,-0.9300952716858608,-0.9646049947852798,-0.5403209178905924,-0.34617132909682513
2015.0,1.0,23.0,12.0,36.0,10.0,0.0,39.0,31.8,7.1,143.74825,-0.7939042905181618,1.1150351056357763,-0.23691178210834657,0.0862728279219994,-0.687461693863537,-0.9524567766383133,-0.7512050177957461,-0.5538755358985223
2015.0,1.0,23.0,6.648057460006529,27.871367939928177,29.96898465556644,65.4611492001306,49.35422788116226,31.8,10.3,361.58275801028407,0.3017168574408639,0.08854537234754632,-0.9361782355720787,-0.7756575527707512,-0.5142116170404241,-0.5993978127735545,0.4393055794464593,0.22290259608560165
2015.0,1.0,23.0,6.648057460006529,27.871367939928177,29.96898465556644,65.4611492001306,49.35422788116226,32.0,17.8,361.58275801028407,0.3017168574408639,0.08854537234754632,-0.9361782355720787,-0.7756575527707512,-0.5142116170404241,-0.5993978127735545,0.4393055794464593,0.22290259608560165
2015.0,1.0,23.0,12.0,36.0,44.0,13.0,10.0,32.5,-0.2,900.16345,-0.8056299774493068,1.1455540527969459,-0.8522507705884758,-0.4494769707670863,-0.8319929008417494,-1.1514058734351535,0.5538880131711553,-0.14053572220083538
2015.0,1.0,23.0,6.648057460006529,27.871367939928177,29.96898465556644,65.4611492001306,49.35422788116226,32.5,18.0,361.58275801028407,0.3017168574408639,0.08854537234754632,-0.9361782355720787,-0.7756575527707512,-0.5142116170404241,-0.5993978127735545,0.4393055794464593,0.22290259608560165
2015.0,1.0,23.0,1.0,17.0,27.0,119.0,5.0,32.6,19.9,0.0,1.2412477494345724,0.03383225270854717,0.4724459033863577,0.19934013898576297,1.7916354236755647,-0.17032491936993288,-0.46086568476754725,-0.6180714978381256
2015.0,1.0,23.0,10.0,55.0,3.0,20.0,28.0,32.7,30.0,0.0,-0.7834070030073373,1.2884634964537436,0.45387217052141543,0.2427213433677898,1.470872101593969,-0.6062891197685528,-0.6114184895521761,0.098304586392783
2015.0,1.0,23.0,6.5,27.0,16.0,69.5,50.0,32.9,6.9,110.98156,0.3466218144158911,0.2941696342275312,-0.5765188523051014,-0.5251348571659668,-1.2565237625392862,-0.9013700827044983,-0.6866673414699438,-0.06551582231676695
2015.0,1.0,23.0,6.5,26.5,40.5,67.5,50.0,32.9,8.9,140.706685,0.3348270112836888,0.17929739861194366,-0.6303750241559566,-0.5670685409066171,-1.26291408786852,-0.8985478857013132,-0.730814730164988,-1.0173637482704374
2015.0,1.0,23.0,6.648057460006529,27.871367939928177,29.96898465556644,65.4611492001306,49.35422788116226,32.9,11.7,361.58275801028407,0.3017168574408639,0.08854537234754632,-0.9361782355720787,-0.7756575527707512,-0.5142116170404241,-0.5993978127735545,0.4393055794464593,0.22290259608560165
2015.0,1.0,23.0,1.0,17.0,35.0,122.0,14.0,32.9,16.4,0.0,1.301580286343404,-0.7428283027393289,0.36915242434586376,0.21322664662822693,1.0293065518979188,-0.16889807455378483,-0.15367175800048946,-0.30928532435935774
2015.0,1.0,23.0,1.0,18.0,3.0,132.0,68.0,33.0,5.3,165.31216,1.487290625791859,-1.4028627611634397,-0.9830302323233829,-1.1418868611407562,-0.7484546813874551,-1.3063606079492571,-0.6133354578832776,-0.08581084819855174
2015.0,1.0,23.0,6.5,27.0,16.0,69.5,50.0,33.0,6.9,104.0708625,0.3471852569158999,0.2876453684583855,-0.5628997261250155,-0.5188820525209531,-1.2436557475891243,-0.8615744835061026,-0.6578467366361491,-0.11493381633976826
2015.0,1.0,23.0,5.5,36.0,34.0,76.5,3.0,33.0,19.6,0.0,0.22224948069273193,0.14401366007541316,0.25519697411107195,0.15743350793213015,0.20009413989214295,-0.4523179874433696,-0.7370653111166259,-0.9976192316008666
