year,month,day,hour,minute,second,atrack,xtrack,lat,lon,surf_alt,solar_zenith_angle,solar_azimuth_angle,surf_air_temp_masked,surf_temp_masked,surf_spec_hum_masked,h2o_vap_tot_masked,cloud_liquid_water_masked,atmosphere_mass_content_of_cloud_ice_masked
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,27.7,19.5,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,28.9,23.9,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,29.7,22.6,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,30.4,22.8,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,30.7,22.0,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,31.7,13.1,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,31.8,7.1,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,12.0,0.0,44.0,13.0,17.0,31.8,10.3,358.17065,-1.0380572487131852,0.9743645180393924,1.006750889688204,2.3931773190006647,-0.25428193951275163,-0.5821645799273303,-0.7758271106237343,-0.5313163907353988
2015.0,10.0,13.0,12.0,0.0,27.0,6.0,55.0,32.0,17.8,0.0,-0.9731409588504382,1.0960970379205508,0.9923341926759258,0.3759505442590511,1.2995083055779912,1.123570175836686,-0.7029393827087957,-0.5313163907353988
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,32.5,-0.2,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,12.0,0.0,35.0,9.0,57.0,32.5,18.0,0.0,-0.9608875115396642,1.0967445493668662,1.052572945252106,0.8088716659744699,2.0254955629359404,0.8793354212210712,-0.5896669451789878,-0.5313163907353988
2015.0,10.0,13.0,12.0,0.0,32.0,8.0,67.0,32.6,19.9,0.0,-0.9402537248507026,1.124898356865284,0.6443969382317787,1.4287517119880055,0.23413015966556217,0.23842295085835094,0.5764981179948332,0.6288121194951899
2015.0,10.0,13.0,12.0,0.0,19.0,3.0,95.0,32.7,30.0,0.0,-0.822809959689456,1.260834302196139,1.0285058425770208,0.921643035768166,1.6953549357222646,1.9425947391035234,-0.7758271106237343,-0.42771273363075113
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,32.9,6.9,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,32.9,8.9,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,12.0,0.0,58.0,18.0,24.0,32.9,11.7,15.858173,-1.0055048403915303,0.9936275849288496,1.1074391720836374,0.7597165895323825,1.3182983664152177,0.6668824831528574,-0.7758271106237343,-0.5313163907353988
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,32.9,16.4,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,33.0,5.3,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
2015.0,10.0,13.0,6.626313577133248,17.067675493905,29.55947877259353,71.50756620428751,47.66897856242119,33.0,6.9,373.52725853768857,0.054276443217282665,0.0903945132160501,-0.1617218792371501,-0.10099194397473016,0.35882281040830155,0.4513507227690127,0.005550612297575705,-0.13838012454232282
