,solar_zenith_angle,solar_azimuth_angle,surf_air_temp_masked,surf_temp_masked,surf_spec_hum_masked,h2o_vap_tot_masked,cloud_liquid_water_masked,atmosphere_mass_content_of_cloud_ice_masked
solar_zenith_angle,1.0,-0.8985954335296008,-0.281913308849311,-0.5187943345904245,-0.04951971610335567,-0.10908492375306074,-0.031670822448459965,-0.0189885680887836
solar_azimuth_angle,-0.8985954335296008,1.0,0.17729142738690065,0.43102668021684964,-0.08918381528900769,-0.03275875908116005,0.03251748031525439,0.03114312399069176
surf_air_temp_masked,-0.281913308849311,0.17729142738690065,1.0,0.9144925828213951,0.4328096960046161,0.566660636567605,-0.24624764989238526,-0.08395041329097909
surf_temp_masked,-0.5187943345904245,0.43102668021684964,0.9144925828213951,1.0,0.310842444153301,0.45148822651987974,-0.18627056594933772,-0.06174533129121063
surf_spec_hum_masked,-0.04951971610335567,-0.08918381528900769,0.4328096960046161,0.310842444153301,1.0,0.7282547484224448,0.06898526914894361,0.04100854405702554
h2o_vap_tot_masked,-0.10908492375306074,-0.03275875908116005,0.566660636567605,0.45148822651987974,0.7282547484224448,1.0,0.14769067958825774,0.1715748961251863
cloud_liquid_water_masked,-0.031670822448459965,0.03251748031525439,-0.24624764989238526,-0.18627056594933772,0.06898526914894361,0.14769067958825774,1.0,0.36124914491819976
atmosphere_mass_content_of_cloud_ice_masked,-0.0189885680887836,0.03114312399069176,-0.08395041329097909,-0.06174533129121063,0.04100854405702554,0.1715748961251863,0.36124914491819976,1.0
